attribute,expectedType
additionalName,"Text,"
address,"PostalAddress,Text,"
affiliation,"Organization,"
alumniOf,"EducationalOrganization,Organization,"
award,"Text,"
birthDate,"Date,"
birthPlace,"Place,"
brand,"Brand,Organization,"
children,"Person,"
colleague,"Person,URL,"
contactPoint,"ContactPoint,"
deathDate,"Date,"
deathPlace,"Place,"
duns,"Text,"
email,"Text,"
familyName,"Text,"
faxNumber,"Text,"
follows,"Person,"
funder,"Organization,Person,"
gender,"GenderType,Text,"
givenName,"Text,"
globalLocationNumber,"Text,"
hasOccupation,"Occupation,"
hasOfferCatalog,"OfferCatalog,"
hasPOS,"Place,"
height,"Distance,QuantitativeValue,"
homeLocation,"ContactPoint,Place,"
honorificPrefix,"Text,"
honorificSuffix,"Text,"
isicV4,"Text,"
jobTitle,"Text,"
knows,"Person,"
makesOffer,"Offer,"
memberOf,"Organization,ProgramMembership,"
naics,"Text,"
nationality,"Country,"
netWorth,"MonetaryAmount,PriceSpecification,"
owns,"OwnershipInfo,Product,"
parent,"Person,"
performerIn,"Event,"
publishingPrinciples,"CreativeWork,URL,"
relatedTo,"Person,"
seeks,"Demand,"
sibling,"Person,"
sponsor,"Organization,Person,"
spouse,"Person,"
taxID,"Text,"
telephone,"Text,"
vatID,"Text,"
weight,"QuantitativeValue,"
workLocation,"ContactPoint,Place,"
worksFor,"Organization,"
